Cat No    Artist                               Title                                       Format        | Apollo status
======    ======                               =====                                       ======        | =============
MR-001    E.A.R.                               Delta 6                                     10"           | no
MR-002    The Useless Playboys                 Bim Bam                                     7" pic disc   | no	
MR-003    The Tards                            Rubber Room                                 7"            | no artist
MR-004    Dale Crover                          Drumb                                       7"            | no
MR-005    The Dwarves                          Gentlemen Prefer Blondes but                7" pic disc   | no
                                                   Blondes Don't Like Cripples                           | 
MR-006    Blag Dahlia                          Haunt Me                                    7"            | no artist
MR-007    Killdozer / Ritual Device            We Will Crush You split                     10"           | no
MR-008    Frank Kozik                          Man's Ruin:                                 Book          | book
                                                   The Posters and Art of Frank Kozik                    |
MR-009    Useless Playboys                     Drunk Elephant                              T-Shirt       | t-shirt
MR-010    Pervis                               Simple                                      7"            | no artist
MR-011    Steel Pole Bath Tub                  Auf Wiedersehen                             7"            | no
MR-012    The Outsideinside                    9:33                                        7"            | no artist
MR-013    Mono Men                             Monster                                     7"            | no
MR-014    The Melvins                          Interstellar Overdrive                      10"           | no
MR-015    Kyuss                                Into the Void                               10"           | no
MR-016    Brutal Juice                         All American City                           7"            | no artist
MR-017    Protein                              My Blood                                    7"            | no artist (probably)
MR-018    Roadsaw                              American Dream                              7"            | no
MR-019    Tree                                 Home Front                                  7"            | no artist
MR-020    Aunt Worm                            Saucy Young Lady                            7"            | no artist
MR-021    X-Cops                               Beat You Down                               7"            | no
MR-022    The Hellacopters                     Supershitty to the Max!                     LP/CD         | https://apollo.rip/torrents.php?id=150779
MR-023    The Nomads                           Iron Dream                                  7"            | no
MR-024    Unsane                               Sick                                        7"            | no
MR-025    Barkmarket                           Peacekeeper                                 12"           | no
MR-026    7 Year Bitch                         Miss Understood                             7"            | 
MR-027    Daddy Longhead                       Daddy Longhead                              10"           | 
MR-028    The Cowslingers                      Trucker's Last Dollar                       7"            | 
MR-029    Hammerlock                           American Asshole                            CD            | no artist
MR-030    The Onyas                            Live for Rejection                          7"            | 
MR-031    Flux                                 Plains at Ground Zero                       7"            | 
MR-032    Cosmic Psychos                       She's a Lost Cause                          7"            | 
MR-033    The Clarke Nova                      Highway Star                                7"            | 
MR-034    Helios Creed                         Abducted                                    7"            | 
MR-035    Chrome                               Chrome                                      10"           | 
MR-036    Gamma Ray                            If Only Everything                          7"            | 
MR-037    Action Suits                         Cancer Father                               7"            | 
MR-038    Tree                                 God Grows Grass                             7"            | no artist
MR-039    Daddy Longhead                       Classic                                     CD            | no artist
MR-040    Trailer Hitch                        Long Tall Tales...                          CD            | no artist
